Item_Identifier,i_weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,O_Size
DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,2007,Tier 2,Supermarket Type1,2552.6772,Medium
DRA24,19.35,Regular,0.040154087,Soft Drinks,164.6868,OUT017,2007,Tier 2,Supermarket Type1,1146.5076,Medium
DRA59,8.27,Regular,0,Soft Drinks,183.2924,OUT017,2007,Tier 2,Supermarket Type1,2406.2012,Medium
DRB13,6.115,Regular,0.007084185,Soft Drinks,191.153,OUT017,2007,Tier 2,Supermarket Type1,3415.554,Medium
DRB24,8.785,Low Fat,0.020693619,Soft Drinks,153.1656,OUT017,2007,Tier 2,Supermarket Type1,1853.5872,Medium
DRB25,12.3,Low Fat,0.069852615,Soft Drinks,107.4938,OUT017,2007,Tier 2,Supermarket Type1,2358.2636,Medium
DRB48,16.75,Regular,0.024994069,Soft Drinks,37.4822,OUT017,2007,Tier 2,Supermarket Type1,549.9508,Medium
DRC01,5.92,Regular,0.019308607,Soft Drinks,49.0692,OUT017,2007,Tier 2,Supermarket Type1,1478.076,Medium
DRC12,17.85,Low Fat,0.038040837,Soft Drinks,189.1188,OUT017,2007,Tier 2,Supermarket Type1,3237.1196,Medium
DRC13,8.26,Regular,0.032625074,Soft Drinks,124.673,OUT017,2007,Tier 2,Supermarket Type1,1847.595,Medium
DRC24,17.85,Low Fat,0.024961677,Soft Drinks,153.1998,OUT017,2007,Tier 2,Supermarket Type1,3383.5956,Medium
DRC27,13.8,Low Fat,0.05843112,Dairy,243.6802,OUT017,2007,Tier 2,Supermarket Type1,1965.4416,Medium
DRC36,13,Regular,0.045239326,Soft Drinks,174.1054,OUT017,2007,Tier 2,Supermarket Type1,4377.635,Medium
DRD01,12.1,Regular,0.061521569,Soft Drinks,55.8614,OUT017,2007,Tier 2,Supermarket Type1,1436.7964,Medium
DRD12,6.96,Low Fat,0.077630199,Soft Drinks,90.9146,OUT017,2007,Tier 2,Supermarket Type1,1459.4336,Medium
DRD13,15,Low Fat,0.049357077,Soft Drinks,62.6168,OUT017,2007,Tier 2,Supermarket Type1,958.752,Medium
DRD24,13.85,Low Fat,0.030969274,Soft Drinks,140.9154,OUT017,2007,Tier 2,Supermarket Type1,1701.7848,Medium
DRD27,18.75,Low Fat,0.023974769,Dairy,99.0042,OUT017,2007,Tier 2,Supermarket Type1,694.4294,Medium
DRD37,9.8,Low Fat,0.013920032,Soft Drinks,45.006,OUT017,2007,Tier 2,Supermarket Type1,792.302,Medium
DRD49,9.895,Low Fat,0.168780385,Soft Drinks,236.8564,OUT017,2007,Tier 2,Supermarket Type1,4767.128,Medium
DRE03,19.6,Low Fat,0.024363939,Dairy,46.3718,OUT017,2007,Tier 2,Supermarket Type1,661.8052,Medium
DRE15,13.35,Low Fat,0,Dairy,75.7012,OUT017,2007,Tier 2,Supermarket Type1,1442.1228,Medium
DRE25,15.35,Low Fat,0.073697713,Soft Drinks,91.912,OUT017,2007,Tier 2,Supermarket Type1,559.272,Medium
DRE48,8.43,Low Fat,0,Soft Drinks,195.3768,OUT017,2007,Tier 2,Supermarket Type1,1576.6144,Medium
DRE49,20.75,Low Fat,0.021370201,Soft Drinks,153.0024,OUT017,2007,Tier 2,Supermarket Type1,2277.036,Medium
DRE60,9.395,Low Fat,0.160235723,Soft Drinks,227.872,OUT017,2007,Tier 2,Supermarket Type1,1584.604,Medium
DRF01,5.655,Low Fat,0.176070535,Soft Drinks,144.0102,OUT017,2007,Tier 2,Supermarket Type1,1749.7224,Medium
DRF13,12.1,Low Fat,0.029949818,Soft Drinks,146.3444,OUT017,2007,Tier 2,Supermarket Type1,3773.7544,Medium
DRF23,4.61,Low Fat,0.123346085,Hard Drinks,172.5396,OUT017,2007,Tier 2,Supermarket Type1,3663.2316,Medium
DRF27,8.93,Low Fat,0.028578012,Dairy,152.234,OUT017,2007,Tier 2,Supermarket Type1,3828.35,Medium
DRF37,17.25,Low Fat,0.084809658,Soft Drinks,261.191,OUT017,2007,Tier 2,Supermarket Type1,3155.892,Medium
DRF60,10.8,Low Fat,0.052363244,Soft Drinks,236.5564,OUT017,2007,Tier 2,Supermarket Type1,5243.8408,Medium
DRG13,17.25,Low Fat,0.037396492,Soft Drinks,165.6526,OUT017,2007,Tier 2,Supermarket Type1,1808.9786,Medium
DRG15,6.13,Low Fat,0.077169953,Dairy,63.0536,OUT017,2007,Tier 2,Supermarket Type1,1225.072,Medium
DRG49,7.81,Low Fat,0.067836851,Soft Drinks,246.1486,OUT017,2007,Tier 2,Supermarket Type1,5375.6692,Medium
DRG51,12.1,Low Fat,0.011604894,Dairy,166.0526,OUT017,2007,Tier 2,Supermarket Type1,1480.0734,Medium
DRH01,17.5,Low Fat,0.098457814,Soft Drinks,171.7738,OUT017,2007,Tier 2,Supermarket Type1,2432.8332,Medium
DRH23,14.65,Low Fat,0.171281641,Hard Drinks,54.0614,OUT017,2007,Tier 2,Supermarket Type1,1160.4894,Medium
DRH25,18.7,Low Fat,0.014675574,Soft Drinks,50.8324,OUT017,2007,Tier 2,Supermarket Type1,934.7832,Medium
DRH36,16.2,Low Fat,0.033568871,Soft Drinks,74.9696,OUT017,2007,Tier 2,Supermarket Type1,2162.5184,Medium
DRH37,17.6,Low Fat,0.041851756,Soft Drinks,162.7526,OUT017,2007,Tier 2,Supermarket Type1,3124.5994,Medium
DRH39,20.7,Low Fat,0.093214498,Dairy,74.667,OUT017,2007,Tier 2,Supermarket Type1,2143.876,Medium
DRI01,7.97,Low Fat,0.034647829,Soft Drinks,171.2422,OUT017,2007,Tier 2,Supermarket Type1,3103.9596,Medium
DRI03,6.03,Low Fat,0.022832115,Dairy,176.7028,OUT017,2007,Tier 2,Supermarket Type1,1416.8224,Medium
DRI13,15.35,Low Fat,0.020441939,Soft Drinks,216.4508,OUT017,2007,Tier 2,Supermarket Type1,5426.27,Medium
DRI23,18.85,Low Fat,0.137972993,Hard Drinks,158.4578,OUT017,2007,Tier 2,Supermarket Type1,1444.1202,Medium
DRI25,19.6,Low Fat,0.034093203,Soft Drinks,56.6614,OUT017,2007,Tier 2,Supermarket Type1,1492.0578,Medium
DRI37,15.85,Low Fat,0.108206497,Soft Drinks,58.3904,OUT017,2007,Tier 2,Supermarket Type1,468.7232,Medium
DRI39,13.8,Low Fat,0.097611115,Dairy,54.893,OUT017,2007,Tier 2,Supermarket Type1,679.116,Medium
DRI51,17.25,Low Fat,0.042480566,Dairy,173.4764,OUT017,2007,Tier 2,Supermarket Type1,2404.8696,Medium
DRI59,9.5,Low Fat,0.041065647,Hard Drinks,223.5088,OUT017,2007,Tier 2,Supermarket Type1,4697.8848,Medium
DRJ11,9.5,Low Fat,0,Hard Drinks,188.9872,OUT017,2007,Tier 2,Supermarket Type1,1323.6104,Medium
DRJ13,12.65,Low Fat,0.063246037,Soft Drinks,159.2578,OUT017,2007,Tier 2,Supermarket Type1,2406.867,Medium
DRJ23,18.35,Low Fat,0.041904578,Hard Drinks,188.1872,OUT017,2007,Tier 2,Supermarket Type1,4159.9184,Medium
DRJ24,11.8,Low Fat,0.11397026,Soft Drinks,185.1924,OUT017,2007,Tier 2,Supermarket Type1,2591.2936,Medium
DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,OUT017,2007,Tier 2,Supermarket Type1,1034.6532,Medium
DRJ35,10.1,Low Fat,0.046848053,Hard Drinks,60.6878,OUT017,2007,Tier 2,Supermarket Type1,363.5268,Medium
DRJ37,10.8,Low Fat,0.061446997,Soft Drinks,150.4024,OUT017,2007,Tier 2,Supermarket Type1,2884.2456,Medium
DRJ49,6.865,Low Fat,0.014072399,Soft Drinks,127.3652,OUT017,2007,Tier 2,Supermarket Type1,1679.1476,Medium
DRJ51,14.1,Low Fat,0.08849163,Dairy,231.1668,OUT017,2007,Tier 2,Supermarket Type1,7602.1044,Medium
DRK01,7.63,Low Fat,0.061409711,Soft Drinks,94.6436,OUT017,2007,Tier 2,Supermarket Type1,1607.2412,Medium
DRK12,9.5,Low Fat,0.042123243,Soft Drinks,32.09,OUT017,2007,Tier 2,Supermarket Type1,432.77,Medium
DRK13,11.8,Low Fat,0.115819014,Soft Drinks,198.3084,OUT017,2007,Tier 2,Supermarket Type1,4563.3932,Medium
DRK23,8.395,Low Fat,0.072383777,Hard Drinks,251.504,OUT017,2007,Tier 2,Supermarket Type1,7084.112,Medium
DRK35,8.365,Low Fat,0.072252888,Hard Drinks,39.6506,OUT017,2007,Tier 2,Supermarket Type1,834.9132,Medium
DRK39,7.02,Low Fat,0,Dairy,83.825,OUT017,2007,Tier 2,Supermarket Type1,1414.825,Medium
DRK49,14.15,Low Fat,0.036147029,Soft Drinks,39.3138,OUT017,2007,Tier 2,Supermarket Type1,527.9794,Medium
